season,mnth,holiday,workingday,temp,hum,windspeed,cnt
3,8,0,0,0.74,0.74,0.6418,194
4,11,1,0,0.34,0.39,0.3284,310
3,6,0,0,0.84,0.32,0.2537,532
1,1,0,0,0.16,0.8,0.0896,32
4,12,0,0,0.26,0.56,0.2239,59
4,10,0,1,0.64,0.47,0.3284,282
3,8,0,1,0.76,0.58,0.3582,307
3,8,0,1,0.7,0.74,0.0,7
3,6,0,1,0.82,0.56,0.2537,147
3,9,0,1,0.68,0.61,0.1343,138
3,7,0,0,0.58,0.88,0.2537,268
2,5,0,1,0.64,0.73,0.1045,530
4,10,0,1,0.58,0.56,0.3284,309
4,10,0,1,0.58,0.46,0.0,272
1,3,0,1,0.2,0.75,0.1343,1
2,6,0,0,0.5,0.77,0.194,36
1,2,0,0,0.3,0.39,0.6119,210
1,2,1,0,0.22,0.55,0.4478,143
4,10,0,1,0.46,0.41,0.3582,520
3,7,0,1,0.74,0.7,0.2537,370
4,11,1,0,0.32,0.57,0.2836,11
4,9,0,1,0.66,0.54,0.2985,808
2,5,0,0,0.62,0.61,0.0,248
1,3,0,1,0.28,0.55,0.6567,375
3,9,0,1,0.7,0.84,0.0896,8
4,11,0,1,0.4,0.54,0.1642,214
4,10,0,1,0.52,0.94,0.0896,11
1,2,1,0,0.24,0.52,0.4179,10
4,10,0,0,0.5,0.59,0.1343,363
2,4,0,1,0.52,0.77,0.3582,49
1,2,0,1,0.16,0.5,0.2985,2
3,6,0,0,0.72,0.48,0.1343,317
4,10,0,1,0.3,0.81,0.0896,8
1,1,0,0,0.06,0.38,0.1343,63
2,4,0,1,0.48,0.55,0.2537,333
2,6,0,1,0.66,0.65,0.2239,431
3,7,0,0,0.74,0.74,0.194,14
4,11,0,1,0.4,0.37,0.3582,196
2,5,0,0,0.52,0.48,0.0,178
3,8,0,1,0.76,0.48,0.1343,610
4,12,0,0,0.38,0.87,0.194,232
1,1,0,1,0.26,0.56,0.0896,88
1,1,0,0,0.3,0.33,0.2836,69
4,9,0,1,0.52,0.83,0.1045,15
2,6,0,0,0.7,0.79,0.0896,77
4,10,0,1,0.36,0.57,0.0896,101
1,12,0,1,0.3,0.61,0.2985,35
3,8,0,1,0.76,0.55,0.2239,347
1,3,0,1,0.48,0.82,0.0896,258
3,6,0,1,0.74,0.58,0.1642,359
1,12,0,1,0.22,0.64,0.1642,110
1,2,0,1,0.34,0.53,0.2537,227
3,6,0,1,0.7,0.54,0.2239,336
4,10,0,0,0.6,0.73,0.194,395
4,11,0,1,0.58,0.6,0.1642,150
2,5,0,1,0.66,0.69,0.2537,174
1,1,0,1,0.3,0.42,0.4627,93
2,4,0,1,0.48,0.44,0.2985,265
4,12,0,1,0.44,0.82,0.194,221
2,5,0,0,0.66,0.61,0.2239,358
4,11,0,0,0.24,0.6,0.2537,41
4,11,0,1,0.2,0.69,0.0,5
3,9,0,0,0.64,0.69,0.2537,377
2,3,0,1,0.46,0.47,0.2836,282
1,1,0,1,0.24,0.56,0.1343,5
3,8,0,0,0.72,0.74,0.2537,19
4,9,0,1,0.6,0.94,0.194,8
3,7,0,0,0.7,0.7,0.1045,504
4,11,0,1,0.28,0.65,0.2239,40
2,4,0,1,0.56,0.94,0.2537,17
2,5,0,1,0.7,0.74,0.194,634
2,6,0,0,0.6,0.46,0.194,300
3,6,0,1,0.78,0.31,0.194,163
4,10,0,1,0.56,0.52,0.2985,217
3,7,0,0,0.9,0.24,0.1343,294
1,2,0,1,0.26,0.33,0.1045,101
4,10,0,1,0.4,0.43,0.3881,355
1,2,0,0,0.16,0.69,0.0896,30
3,9,0,1,0.68,0.65,0.194,355
4,10,0,1,0.36,0.53,0.1642,368
3,7,0,1,0.7,0.7,0.0896,116
4,10,0,1,0.44,0.58,0.194,136
1,2,0,1,0.4,0.43,0.4627,410
2,4,0,0,0.36,0.93,0.4179,35
4,12,0,1,0.26,0.65,0.1343,92
1,2,0,1,0.48,0.41,0.2239,101
3,7,0,1,0.66,0.83,0.1343,8
1,1,0,1,0.5,0.29,0.3284,160
2,4,0,1,0.6,0.2,0.194,543
4,9,0,1,0.72,0.62,0.1343,209
2,5,0,0,0.72,0.3,0.1045,672
3,9,0,1,0.6,0.88,0.2537,36
3,7,0,1,0.72,0.54,0.0,53
2,5,0,1,0.62,0.83,0.1642,376
3,7,0,0,0.8,0.46,0.2985,367
2,6,0,1,0.8,0.43,0.2836,146
2,5,0,1,0.42,0.5,0.194,9
2,5,0,1,0.62,0.69,0.3284,71
1,3,0,0,0.36,0.51,0.3582,157
3,9,0,0,0.5,0.68,0.2836,249
4,11,0,1,0.3,0.49,0.1045,161
2,4,0,0,0.6,0.83,0.2836,105
2,3,0,0,0.44,0.88,0.1642,414
2,3,0,1,0.44,0.72,0.194,370
2,4,0,1,0.5,0.27,0.3881,656
4,10,0,0,0.56,0.49,0.2985,153
2,5,0,1,0.76,0.66,0.1045,210
3,8,0,1,0.66,0.74,0.1045,12
4,10,0,1,0.46,0.77,0.1045,784
4,11,0,1,0.44,0.54,0.194,257
1,2,0,0,0.12,0.42,0.3582,91
3,7,0,1,0.7,0.79,0.0,6
3,8,0,1,0.64,0.44,0.1642,264
3,7,0,0,0.68,0.89,0.1343,168
4,11,0,1,0.2,0.8,0.0,40
4,10,0,0,0.64,0.44,0.0896,455
2,4,0,0,0.34,0.87,0.1343,27
2,5,0,0,0.64,0.83,0.194,151
2,4,0,1,0.52,1.0,0.0,5
2,4,0,1,0.36,0.46,0.3284,126
1,2,0,1,0.34,0.49,0.1045,163
2,5,0,0,0.7,0.58,0.2537,306
2,5,0,1,0.56,0.43,0.0896,251
3,9,0,1,0.76,0.75,0.2239,839
4,10,0,0,0.42,0.94,0.4627,55
3,7,0,1,0.72,0.39,0.2239,400
3,8,0,0,0.8,0.49,0.194,383
1,1,0,0,0.16,0.47,0.3284,59
1,3,0,1,0.44,0.58,0.194,207
1,1,0,1,0.34,0.53,0.5224,135
2,6,0,0,0.74,0.27,0.4179,404
2,6,0,1,0.76,0.29,0.2985,523
2,5,0,1,0.52,0.88,0.0,487
1,2,1,0,0.28,0.75,0.4179,56
3,7,0,0,0.76,0.62,0.1045,390
1,1,0,1,0.32,0.49,0.2985,76
3,8,0,1,0.64,0.69,0.0,357
2,6,0,1,0.52,0.68,0.0,35
2,5,0,0,0.48,0.82,0.1045,19
3,7,0,1,0.92,0.33,0.3284,241
1,2,0,1,0.42,0.35,0.4179,221
2,3,0,0,0.48,0.67,0.0,621
4,11,0,1,0.32,0.57,0.1343,711
1,12,0,1,0.22,0.47,0.2239,15
1,2,0,0,0.3,0.42,0.2239,71
1,2,0,1,0.42,0.26,0.0896,530
3,7,0,0,0.96,0.31,0.3582,342
2,5,0,1,0.72,0.54,0.1642,556
4,9,0,0,0.5,0.63,0.1045,221
4,11,0,1,0.36,0.46,0.2537,149
4,10,0,1,0.42,0.62,0.194,24
1,2,0,1,0.22,0.93,0.1343,1
1,3,0,1,0.24,0.44,0.0,129
3,6,0,1,0.62,0.78,0.1642,33
2,5,0,0,0.52,0.72,0.194,12
1,1,0,1,0.34,0.53,0.0,316
3,9,0,1,0.76,0.52,0.2836,277
2,3,0,1,0.32,0.39,0.0,10
1,3,0,1,0.16,0.59,0.1045,501
1,2,0,0,0.2,0.51,0.2985,22
4,9,0,1,0.62,0.61,0.194,158
2,4,0,0,0.34,1.0,0.1642,11
1,2,0,1,0.4,0.28,0.1045,134
2,6,0,1,0.6,0.46,0.1642,267
3,7,0,1,0.84,0.47,0.2239,499
4,11,0,1,0.26,0.52,0.2239,58
1,2,0,1,0.32,0.21,0.1642,74
2,4,0,1,0.56,0.49,0.2239,404
3,8,0,1,0.74,0.55,0.2836,851
3,7,0,1,0.64,0.65,0.2239,4
1,12,0,0,0.2,0.51,0.1343,9
3,8,0,1,0.72,0.66,0.194,290
3,8,0,1,0.72,0.58,0.2985,334
1,2,0,1,0.32,0.7,0.0896,252
4,10,0,1,0.54,0.77,0.0,18
3,8,0,0,0.66,0.74,0.4179,53
1,2,0,1,0.42,0.28,0.1642,449
3,8,0,0,0.7,0.65,0.0,190
2,4,0,0,0.52,0.52,0.2985,432
2,5,0,1,0.62,0.88,0.0896,55
4,10,0,1,0.5,0.51,0.3582,269
2,3,0,0,0.5,0.72,0.0896,419
3,7,1,0,0.92,0.35,0.2985,454
1,1,0,1,0.2,0.92,0.1045,62
2,4,0,1,0.58,0.28,0.5522,255
4,10,0,1,0.54,1.0,0.1045,7
2,6,0,1,0.6,0.53,0.194,782
1,12,0,1,0.18,0.55,0.194,34
2,4,0,0,0.5,0.45,0.1045,595
2,4,0,0,0.5,0.59,0.2239,232
2,6,0,0,0.5,0.64,0.0,8
4,10,0,1,0.4,0.82,0.0,6
2,4,0,1,0.3,0.61,0.0896,100
1,1,0,1,0.08,0.42,0.0896,46
4,12,0,1,0.42,0.82,0.1045,25
1,2,0,0,0.3,0.28,0.5821,133
3,7,0,0,0.68,0.65,0.2239,118
3,7,0,1,0.82,0.56,0.1642,141
1,1,0,1,0.24,0.38,0.2985,60
2,4,0,1,0.42,0.77,0.0,25
2,6,0,1,0.62,0.88,0.0,21
2,4,0,0,0.46,0.88,0.2239,232
4,12,0,0,0.36,0.71,0.0,479
3,7,0,1,0.82,0.75,0.2239,225
4,9,0,1,0.7,0.54,0.1642,627
4,11,0,1,0.5,0.45,0.1343,186
3,7,0,0,0.8,0.59,0.2239,421
3,9,0,0,0.72,0.74,0.1343,79
1,1,0,1,0.22,0.69,0.1642,5
1,3,0,1,0.56,0.37,0.4179,288
3,9,0,1,0.6,0.83,0.0,5
3,7,0,1,0.84,0.49,0.1343,237
3,7,0,1,0.84,0.26,0.2239,572
2,6,0,0,0.72,0.62,0.1642,253
3,8,0,1,0.7,0.61,0.194,315
2,6,0,1,0.72,0.58,0.194,250
3,7,0,1,0.9,0.5,0.3582,147
4,11,0,1,0.32,0.66,0.1045,65
1,2,0,1,0.42,0.71,0.1045,183
3,9,0,1,0.54,0.83,0.0,41
1,2,0,0,0.4,0.35,0.3284,47
2,5,0,0,0.6,0.56,0.1642,239
4,9,0,0,0.52,0.55,0.1343,292
4,10,0,1,0.52,0.45,0.1642,135
4,12,0,0,0.3,0.49,0.2836,219
1,2,0,1,0.26,0.48,0.1343,124
3,8,0,1,0.84,0.44,0.2985,151
4,11,0,0,0.24,0.7,0.194,78
3,7,0,1,0.72,0.84,0.0,27
1,1,0,1,0.02,0.44,0.194,152
3,8,0,0,0.68,0.83,0.2239,183
1,2,0,1,0.38,0.32,0.3284,86
4,11,0,1,0.28,0.48,0.194,137
1,12,0,0,0.4,0.76,0.1642,128
3,9,0,1,0.54,0.88,0.2985,29
4,11,0,1,0.32,0.61,0.0,104
4,10,0,1,0.58,0.83,0.2239,318
2,6,0,0,0.52,0.63,0.1045,50
4,9,0,0,0.7,0.7,0.0,464
1,2,0,1,0.34,0.81,0.0,118
3,7,0,1,0.76,0.55,0.4925,376
4,11,0,1,0.3,0.56,0.2239,4
1,3,0,1,0.32,0.49,0.3284,153
4,11,0,1,0.52,0.83,0.1045,109
1,2,0,0,0.38,0.62,0.1642,69
2,3,0,1,0.66,0.61,0.2239,471
2,5,0,0,0.64,0.65,0.1343,305
3,8,0,0,0.76,0.37,0.2836,598
1,12,1,0,0.38,0.4,0.2985,140
1,2,0,1,0.14,0.5,0.3582,188
4,10,0,1,0.28,0.65,0.2537,75
3,6,0,1,0.66,0.69,0.194,608
3,7,0,1,0.7,0.65,0.0896,270
4,10,0,0,0.36,0.57,0.0896,249
1,1,0,1,0.26,0.33,0.5522,129
2,3,0,1,0.32,0.57,0.0,1
4,10,0,0,0.42,0.67,0.2537,36
1,3,0,1,0.44,0.0,0.3582,82
4,10,0,0,0.46,0.88,0.0,78
3,7,0,1,0.72,0.48,0.2239,373
2,5,0,1,0.6,0.4,0.194,446
1,1,0,1,0.26,0.56,0.1642,1
1,3,0,1,0.36,0.27,0.2239,248
4,10,0,1,0.4,0.87,0.1045,86
3,7,0,1,0.82,0.71,0.2239,78
3,7,0,1,0.72,0.7,0.1045,8
3,6,0,0,0.66,0.5,0.194,59
4,9,0,1,0.68,0.79,0.2239,159
1,2,0,0,0.3,0.45,0.1343,83
3,8,0,0,0.6,0.83,0.0,27
2,3,0,1,0.2,0.32,0.3284,110
2,4,0,1,0.56,0.83,0.0896,6
1,3,0,1,0.56,0.37,0.2239,220
3,7,0,1,0.86,0.63,0.2985,106
3,7,0,1,0.84,0.36,0.194,234
4,11,0,0,0.38,0.76,0.194,151
3,9,0,0,0.46,0.82,0.1642,136
2,4,0,0,0.38,0.37,0.0,214
2,5,0,0,0.72,0.62,0.2239,385
1,12,0,1,0.32,0.57,0.1343,197
3,8,0,1,0.6,0.6,0.1045,24
3,6,0,1,0.7,0.74,0.2239,162
3,8,0,1,0.76,0.55,0.0896,4
3,6,0,1,0.7,0.65,0.0,242
1,1,0,1,0.4,0.76,0.3582,14
4,12,0,1,0.18,0.8,0.0,3
1,2,0,1,0.4,0.37,0.5821,106
1,2,0,1,0.3,0.52,0.0,84
1,2,0,1,0.38,0.43,0.5224,327
1,1,0,0,0.24,0.38,0.2239,99
1,2,0,1,0.4,0.37,0.1045,311
4,11,0,1,0.28,0.75,0.1045,2
1,12,0,0,0.26,0.44,0.4478,35
1,2,0,1,0.24,0.52,0.2239,99
2,3,0,1,0.24,0.32,0.2985,3
4,12,0,0,0.4,0.5,0.2239,309
1,1,0,0,0.18,0.55,0.1642,34
3,8,0,1,0.74,0.3,0.3881,320
4,10,0,0,0.52,0.48,0.2985,207
3,8,0,1,0.78,0.4,0.2537,818
2,5,0,0,0.72,0.66,0.2239,519
2,6,0,0,0.7,0.58,0.0,266
3,8,0,1,0.72,0.66,0.2537,228
3,9,0,0,0.56,0.83,0.2836,45
3,8,0,1,0.7,0.65,0.1045,8
3,8,0,1,0.64,0.78,0.1343,101
1,2,0,1,0.34,0.46,0.1642,201
2,5,0,1,0.6,0.73,0.1045,232
4,10,0,0,0.6,0.43,0.5224,659
2,4,0,0,0.32,1.0,0.194,16
3,8,0,1,0.68,0.89,0.194,36
4,10,0,0,0.5,0.36,0.1343,166
1,1,0,0,0.24,0.75,0.0,13
4,10,0,1,0.6,0.69,0.1343,149
1,2,0,1,0.2,0.51,0.194,1
1,3,0,1,0.54,0.88,0.0,3
1,1,0,1,0.24,0.38,0.4925,154
3,9,0,0,0.72,0.7,0.1642,388
3,7,0,1,0.82,0.59,0.0896,190
4,11,0,0,0.36,0.81,0.0896,88
3,9,0,0,0.56,0.64,0.1642,369
1,3,0,0,0.26,0.41,0.194,83
2,5,0,1,0.52,0.55,0.0,174
4,11,0,0,0.34,0.76,0.0896,108
2,3,0,1,0.24,0.35,0.3582,287
3,8,0,1,0.6,0.73,0.194,40
1,2,0,0,0.32,0.39,0.4478,112
3,7,0,0,0.58,0.88,0.2537,37
3,9,0,0,0.64,0.41,0.1642,694
2,4,0,1,0.64,0.47,0.3582,455
2,4,0,0,0.46,0.41,0.4179,304
2,4,1,0,0.74,0.37,0.2985,375
1,1,0,1,0.24,0.48,0.3582,7
2,6,0,1,0.78,0.24,0.3284,185
4,11,0,1,0.38,0.46,0.2985,204
2,5,0,1,0.4,0.62,0.3284,191
4,12,0,1,0.32,0.45,0.2836,167
2,4,0,1,0.62,0.83,0.4179,9
3,7,0,1,0.74,0.79,0.1343,34
3,7,0,1,0.86,0.41,0.2239,323
3,9,1,0,0.76,0.62,0.2985,543
2,6,0,1,0.62,0.73,0.0896,463
2,4,0,0,0.3,0.93,0.194,13
2,5,0,1,0.64,0.73,0.194,420
4,9,0,1,0.68,0.41,0.3582,291
3,9,0,1,0.62,0.43,0.0,243
3,8,0,1,0.7,0.7,0.0,412
3,7,0,0,0.92,0.18,0.2985,293
2,4,0,1,0.5,0.18,0.2537,482
1,2,0,0,0.22,0.47,0.2239,87
2,4,0,1,0.46,0.94,0.2239,151
2,5,0,1,0.62,0.78,0.1343,47
2,3,0,0,0.44,0.72,0.4627,341
3,9,0,0,0.64,0.89,0.0,104
3,7,0,1,0.7,0.84,0.0,37
2,5,0,0,0.74,0.55,0.2985,341
2,4,0,0,0.5,0.82,0.2239,31
4,11,0,1,0.24,0.7,0.0896,19
1,1,0,0,0.26,0.56,0.0,39
2,5,0,1,0.62,0.73,0.2239,176
2,4,0,1,0.48,0.41,0.4179,165
2,4,0,1,0.56,0.46,0.1343,194
3,7,0,1,0.8,0.66,0.0,513
2,5,0,0,0.66,0.61,0.4179,274
1,1,0,1,0.2,0.64,0.194,17
4,12,0,0,0.42,0.82,0.1642,541
2,4,0,0,0.54,0.19,0.3881,615
4,12,0,1,0.5,0.59,0.194,5
2,6,0,0,0.64,0.38,0.1045,317
4,12,0,0,0.28,0.61,0.0896,25
4,11,0,1,0.36,0.57,0.194,573
4,10,0,1,0.5,0.45,0.2836,235
1,2,0,0,0.26,0.65,0.1642,36
2,5,0,1,0.68,0.61,0.1343,785
3,8,0,0,0.76,0.66,0.2836,269
4,10,0,0,0.36,0.5,0.0896,266
3,9,0,1,0.76,0.7,0.1642,235
3,8,0,0,0.62,0.83,0.1045,10
2,5,0,1,0.58,0.83,0.0,719
2,4,0,1,0.46,0.51,0.194,195
3,9,0,1,0.68,0.61,0.1045,280
3,7,0,0,0.8,0.49,0.0,183
4,9,0,1,0.6,0.88,0.0,36
2,6,0,1,0.7,0.45,0.1642,403
2,6,0,0,0.64,0.38,0.2537,702
3,6,0,1,0.74,0.74,0.2239,425
3,9,0,1,0.72,0.51,0.1343,192
3,6,0,1,0.82,0.59,0.3284,258
1,1,0,0,0.04,0.41,0.3881,12
4,10,1,0,0.34,0.81,0.1045,10
3,7,0,0,0.72,0.7,0.0896,80
1,1,0,0,0.22,0.8,0.1343,130
3,7,0,1,0.72,0.7,0.1642,3
4,10,0,0,0.4,0.82,0.3284,125
4,10,0,1,0.48,0.77,0.0896,162
4,11,0,1,0.28,0.81,0.194,22
3,7,0,0,0.74,0.66,0.1642,264
4,11,0,1,0.32,0.76,0.0896,365
3,7,0,1,0.76,0.55,0.2537,313
4,12,0,1,0.36,0.5,0.194,273
2,4,0,1,0.42,0.67,0.194,99
1,2,1,0,0.38,0.27,0.2537,253
3,9,0,0,0.46,0.72,0.1343,28
2,4,0,1,0.66,0.39,0.2239,494
4,12,0,1,0.38,0.62,0.0,53
3,8,0,1,0.86,0.41,0.2239,492
3,7,0,1,0.68,0.79,0.1343,38
4,12,0,1,0.32,0.93,0.0,404
3,8,0,1,0.7,0.79,0.1642,4
1,2,0,0,0.22,0.55,0.0,3
1,2,0,1,0.24,0.48,0.0,61
3,7,0,1,0.74,0.45,0.0896,109
1,2,0,1,0.5,0.39,0.0896,369
4,10,0,1,0.46,0.82,0.0,417
4,12,0,1,0.4,0.76,0.1045,154
2,4,0,1,0.52,0.34,0.0,182
3,9,0,0,0.52,0.68,0.194,349
2,5,0,1,0.56,0.56,0.1045,361
2,4,0,1,0.7,0.48,0.3881,177
1,2,0,1,0.24,0.6,0.1642,109
1,12,1,0,0.38,0.4,0.2537,131
3,8,0,1,0.72,0.58,0.0896,267
3,7,0,0,0.8,0.63,0.0896,37
2,5,0,1,0.56,0.88,0.1045,137
2,4,0,0,0.7,0.54,0.3284,420
2,5,0,0,0.52,0.94,0.0896,100
2,4,0,1,0.24,0.7,0.1343,5
1,3,0,1,0.2,1.0,0.3284,4
1,2,0,1,0.24,0.52,0.2836,124
4,9,0,1,0.56,0.94,0.0,394
2,4,0,1,0.36,0.43,0.2985,160
1,3,0,1,0.68,0.39,0.3582,173
3,7,0,1,0.76,0.66,0.2239,140
2,5,0,0,0.66,0.61,0.1642,331
2,6,0,0,0.7,0.34,0.2537,496
2,5,0,1,0.66,0.78,0.2239,33
1,1,0,1,0.22,0.44,0.3582,5
3,9,0,1,0.42,0.67,0.194,26
3,7,0,1,0.82,0.46,0.1045,545
2,6,0,1,0.46,0.88,0.1045,170
4,9,0,0,0.6,0.88,0.0896,3
1,3,0,1,0.7,0.28,0.0896,782
4,11,0,1,0.2,0.69,0.0,10
1,3,0,0,0.34,0.39,0.1045,203
2,4,0,1,0.5,0.22,0.4179,536
3,7,1,0,0.84,0.53,0.1343,584
2,4,0,0,0.34,1.0,0.0,7
2,3,0,1,0.56,0.64,0.1343,172
4,10,0,1,0.7,0.65,0.0,593
2,5,0,1,0.6,0.64,0.194,276
3,6,0,0,0.66,0.5,0.2985,179
2,5,0,1,0.64,0.57,0.194,594
3,8,0,0,0.7,0.84,0.2239,49
2,5,0,1,0.54,0.68,0.2239,147
4,11,0,1,0.46,0.67,0.3881,108
1,3,0,0,0.4,0.37,0.2985,93
3,7,0,1,0.66,0.89,0.3881,2
3,9,0,1,0.68,0.83,0.3881,126
4,11,0,1,0.34,0.71,0.1045,2
1,1,1,0,0.26,0.35,0.3881,153
2,5,0,1,0.56,0.68,0.2239,263
3,7,0,1,0.68,0.57,0.2985,239
2,5,0,1,0.64,0.78,0.194,224
2,3,0,1,0.5,0.36,0.5821,153
2,5,0,0,0.66,0.69,0.2537,459
3,7,0,1,0.6,0.6,0.2239,130
3,9,0,1,0.68,0.79,0.6418,151
1,3,0,0,0.48,0.59,0.3284,152
3,7,0,0,0.76,0.43,0.2836,463
2,4,0,1,0.5,0.25,0.3881,216
2,4,0,1,0.42,0.35,0.194,158
1,1,0,1,0.12,0.55,0.2537,19
2,6,0,1,0.78,0.43,0.2239,243
2,5,0,1,0.34,0.93,0.3582,52
3,8,0,1,0.7,0.48,0.1343,226
4,11,0,1,0.46,0.63,0.1045,117
3,6,0,1,0.74,0.7,0.0,590
4,10,0,1,0.6,0.73,0.3881,263
1,2,0,0,0.26,0.81,0.1642,221
4,9,0,1,0.56,0.94,0.0896,138
3,8,0,1,0.68,0.65,0.0,8
2,4,0,1,0.56,0.83,0.2836,165
2,5,0,1,0.5,0.59,0.0896,49
1,12,0,1,0.24,0.7,0.0896,62
4,12,0,1,0.44,1.0,0.1045,46
1,1,0,1,0.36,0.34,0.194,412
4,12,0,0,0.32,0.61,0.0896,114
4,10,0,1,0.54,0.94,0.3881,7
3,8,0,1,0.8,0.49,0.1642,43
1,2,1,0,0.24,0.6,0.3582,6
1,12,0,1,0.4,0.54,0.4179,200
3,8,0,1,0.68,0.79,0.3284,313
3,8,0,0,0.68,0.83,0.3881,154
2,5,0,1,0.52,0.48,0.1045,190
4,10,0,0,0.44,0.54,0.2537,11
4,9,0,0,0.44,0.77,0.0,57
1,1,0,1,0.24,0.48,0.1045,54
3,6,0,1,0.78,0.43,0.2537,251
2,6,0,1,0.82,0.59,0.1343,384
1,2,0,1,0.38,0.54,0.0896,50
2,4,0,0,0.36,0.71,0.1045,64
3,6,0,1,0.66,0.5,0.0896,7
1,1,0,1,0.16,0.4,0.1642,57
2,5,0,1,0.64,0.69,0.0896,26
3,9,0,1,0.62,0.83,0.1642,180
4,12,0,1,0.34,0.61,0.0,2
3,7,0,1,0.66,0.5,0.0,68
2,4,0,1,0.5,0.55,0.1045,169
2,4,0,0,0.38,0.87,0.0896,36
1,3,0,1,0.6,0.73,0.1642,248
1,12,0,1,0.44,0.67,0.1642,6
3,8,0,1,0.66,0.89,0.1343,4
3,8,0,1,0.76,0.31,0.2239,217
1,3,0,1,0.42,0.54,0.2985,121
4,12,0,0,0.28,0.48,0.2537,234
4,11,0,1,0.24,0.75,0.1045,4
2,4,0,1,0.52,0.59,0.194,309
2,4,0,1,0.64,0.78,0.3582,54
1,2,0,1,0.36,0.23,0.194,211
3,9,0,1,0.64,0.89,0.0896,221
2,4,0,1,0.36,0.71,0.4627,110
3,9,0,1,0.74,0.7,0.1642,662
1,12,1,0,0.36,0.43,0.2836,97
2,5,0,1,0.66,0.83,0.1642,489
1,2,0,1,0.12,0.42,0.3582,122
4,10,0,0,0.44,0.62,0.1642,127
4,11,0,1,0.32,0.93,0.0,6
1,12,0,0,0.32,0.49,0.0896,26
4,10,0,1,0.7,0.54,0.2836,497
2,4,0,0,0.54,0.19,0.4179,567
2,6,0,1,0.64,0.73,0.2239,16
4,12,0,1,0.32,0.53,0.2239,546
2,6,0,1,0.6,0.83,0.2239,194
4,9,0,0,0.6,0.43,0.2239,591
2,5,0,1,0.44,0.77,0.1642,17
3,6,0,1,0.72,0.74,0.1642,24
2,6,0,1,0.64,0.38,0.0,300
3,8,0,1,0.72,0.74,0.1343,206
3,6,0,1,0.8,0.55,0.3881,529
1,2,0,0,0.22,0.55,0.1343,8
